_row_number,Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Projected Points,Auction Value,Is Rookie,Data Status,_quarantine_reason,_exceptions
113,112,Marvin Mims Jr.,DEN,WR,49,12,173.47,2,No,Partial Data,validation_failed,"[{'row': 113, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
147,146,Marquise Brown,KC,WR,58,10,149.21,2,No,Partial Data,validation_failed,"[{'row': 147, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
148,147,Luther Burden III,CHI,WR,59,5,148.35,3,No,Partial Data,validation_failed,"[{'row': 148, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
195,194,Buffalo Bills DST,BUF,DST,2,7,117.8,,No,Partial Data,validation_failed,"[{'row': 195, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
197,196,Minnesota Vikings DST,MIN,DST,4,6,106.23,,No,Partial Data,validation_failed,"[{'row': 197, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
201,200,Detroit Lions DST,DET,DST,8,8,112.46,,No,Partial Data,validation_failed,"[{'row': 201, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
212,211,Seattle Seahawks DST,SEA,DST,10,8,102.17,,No,Partial Data,validation_failed,"[{'row': 212, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
213,212,Kansas City Chiefs DST,KC,DST,11,10,100.69,,No,Partial Data,validation_failed,"[{'row': 213, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
233,232,Green Bay Packers DST,GB,DST,13,5,106.24,,No,Partial Data,validation_failed,"[{'row': 233, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
234,233,San Francisco 49ers DST,SF,DST,14,14,113.68,,No,Partial Data,validation_failed,"[{'row': 234, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
239,238,Dallas Cowboys DST,DAL,DST,15,10,105.24,,No,Partial Data,validation_failed,"[{'row': 239, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
254,253,Tampa Bay Buccaneers DST,TB,DST,16,9,105.48,,No,Partial Data,validation_failed,"[{'row': 254, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
287,286,Arizona Cardinals DST,ARI,DST,17,8,100.69,,No,Partial Data,validation_failed,"[{'row': 287, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
294,293,New York Jets DST,NYJ,DST,19,9,99.53,,No,Partial Data,validation_failed,"[{'row': 294, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
298,297,New York Giants DST,NYG,DST,20,14,100.82,,No,Partial Data,validation_failed,"[{'row': 298, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
380,379,Isaiah Bond,CLE,WR,145,9,0.0,,Yes,Insufficient Data,validation_failed,"[{'row': 380, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
394,393,Patrick Taylor,SF,RB,106,14,2.25,,No,Partial Data,validation_failed,"[{'row': 394, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
409,408,Indianapolis Colts DST,IND,DST,21,11,99.63,,No,Partial Data,validation_failed,"[{'row': 409, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
430,429,New England Patriots DST,NE,DST,25,14,104.87,,No,Partial Data,validation_failed,"[{'row': 430, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
436,435,Mitch Trubisky,BUF,QB,58,7,28.07,,No,Partial Data,validation_failed,"[{'row': 436, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
441,440,D'Wayne Eskridge,MIA,WR,163,12,26.47,,No,Partial Data,validation_failed,"[{'row': 441, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
443,442,Scott Miller,PIT,WR,164,5,14.62,,No,Partial Data,validation_failed,"[{'row': 443, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
478,477,Trent Sherfield,DEN,WR,177,12,9.43,,No,Partial Data,validation_failed,"[{'row': 478, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
481,480,Beaux Collins,NYG,WR,178,14,34.61,,No,Partial Data,validation_failed,"[{'row': 481, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
504,503,Zavier Scott,MIN,RB,127,6,0.0,,No,Insufficient Data,validation_failed,"[{'row': 504, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
507,506,Josh Williams,TB,RB,128,9,0.0,,No,Insufficient Data,validation_failed,"[{'row': 507, 'column': 'ADP', 'value': 'null', 'error': 'Non-nullable column ADP has null value'}]"
